"","del","si1","si2","alpha","dim"
"1012",0.15,1,1.5,1e-04,992
"1013",0.2,1,1.5,1e-04,998
"1014",0.25,1,1.5,1e-04,1000
"1015",0.3,1,1.5,1e-04,1000
"1016",0.35,1,1.5,1e-04,1000
"1017",0.4,1,1.5,1e-04,1000
"1018",0.45,1,1.5,1e-04,1000
"1019",0.5,1,1.5,1e-04,1000
"1020",0.55,1,1.5,1e-04,1000
"1021",0.6,1,1.5,1e-04,1000
"1022",0.65,1,1.5,1e-04,1000
"1023",0.7,1,1.5,1e-04,1000
"1024",0.75,1,1.5,1e-04,1000
"1025",0.8,1,1.5,1e-04,1000
"1026",0.85,1,1.5,1e-04,1000
"1027",0.9,1,1.5,1e-04,1000
"1028",0.95,1,1.5,1e-04,1000
"1029",1,1,1.5,1e-04,1000
"1030",0,1.5,1.5,1e-04,0
"1031",0.05,1.5,1.5,1e-04,0
"1032",0.1,1.5,1.5,1e-04,4
"1033",0.15,1.5,1.5,1e-04,19
"1034",0.2,1.5,1.5,1e-04,67
"1035",0.25,1.5,1.5,1e-04,200
"1036",0.3,1.5,1.5,1e-04,428
"1037",0.35,1.5,1.5,1e-04,679
"1038",0.4,1.5,1.5,1e-04,874
"1039",0.45,1.5,1.5,1e-04,966
"1040",0.5,1.5,1.5,1e-04,994
"1041",0.55,1.5,1.5,1e-04,999
"1042",0.6,1.5,1.5,1e-04,1000
"1043",0.65,1.5,1.5,1e-04,1000
"1044",0.7,1.5,1.5,1e-04,1000
"1045",0.75,1.5,1.5,1e-04,1000
"1046",0.8,1.5,1.5,1e-04,1000
"1047",0.85,1.5,1.5,1e-04,1000
"1048",0.9,1.5,1.5,1e-04,1000
"1049",0.95,1.5,1.5,1e-04,1000
"1050",1,1.5,1.5,1e-04,1000
"1051",0,2,1.5,1e-04,193
"1052",0.05,2,1.5,1e-04,238
"1053",0.1,2,1.5,1e-04,382
"1054",0.15,2,1.5,1e-04,559
"1055",0.2,2,1.5,1e-04,738
"1056",0.25,2,1.5,1e-04,870
"1057",0.3,2,1.5,1e-04,965
"1058",0.35,2,1.5,1e-04,987
"1059",0.4,2,1.5,1e-04,999
"1060",0.45,2,1.5,1e-04,999
"1061",0.5,2,1.5,1e-04,1000
"1062",0.55,2,1.5,1e-04,1000
"1063",0.6,2,1.5,1e-04,1000
"1064",0.65,2,1.5,1e-04,1000
"1065",0.7,2,1.5,1e-04,1000
"1066",0.75,2,1.5,1e-04,1000
"1067",0.8,2,1.5,1e-04,1000
"1068",0.85,2,1.5,1e-04,1000
"1069",0.9,2,1.5,1e-04,1000
"1070",0.95,2,1.5,1e-04,1000
"1071",1,2,1.5,1e-04,1000
"1072",0,1,2,1e-04,1000
"1073",0.05,1,2,1e-04,1000
"1074",0.1,1,2,1e-04,1000
"1075",0.15,1,2,1e-04,1000
"1076",0.2,1,2,1e-04,1000
"1077",0.25,1,2,1e-04,1000
"1078",0.3,1,2,1e-04,1000
"1079",0.35,1,2,1e-04,1000
"1080",0.4,1,2,1e-04,1000
"1081",0.45,1,2,1e-04,1000
"1082",0.5,1,2,1e-04,1000
"1083",0.55,1,2,1e-04,1000
"1084",0.6,1,2,1e-04,1000
"1085",0.65,1,2,1e-04,1000
"1086",0.7,1,2,1e-04,1000
"1087",0.75,1,2,1e-04,1000
"1088",0.8,1,2,1e-04,1000
"1089",0.85,1,2,1e-04,1000
"1090",0.9,1,2,1e-04,1000
"1091",0.95,1,2,1e-04,1000
"1092",1,1,2,1e-04,1000
"1093",0,1.5,2,1e-04,194
"1094",0.05,1.5,2,1e-04,225
"1095",0.1,1.5,2,1e-04,368
"1096",0.15,1.5,2,1e-04,544
"1097",0.2,1.5,2,1e-04,727
"1098",0.25,1.5,2,1e-04,866
"1099",0.3,1.5,2,1e-04,950
"1100",0.35,1.5,2,1e-04,986
"1101",0.4,1.5,2,1e-04,998
"1102",0.45,1.5,2,1e-04,1000
"1103",0.5,1.5,2,1e-04,1000
"1104",0.55,1.5,2,1e-04,1000
"1105",0.6,1.5,2,1e-04,1000
"1106",0.65,1.5,2,1e-04,1000
"1107",0.7,1.5,2,1e-04,1000
"1108",0.75,1.5,2,1e-04,1000
"1109",0.8,1.5,2,1e-04,1000
"1110",0.85,1.5,2,1e-04,1000
"1111",0.9,1.5,2,1e-04,1000
"1112",0.95,1.5,2,1e-04,1000
"1113",1,1.5,2,1e-04,1000
"1114",0,2,2,1e-04,0
"1115",0.05,2,2,1e-04,0
"1116",0.1,2,2,1e-04,2
"1117",0.15,2,2,1e-04,5
"1118",0.2,2,2,1e-04,19
"1119",0.25,2,2,1e-04,56
"1120",0.3,2,2,1e-04,122
"1121",0.35,2,2,1e-04,251
"1122",0.4,2,2,1e-04,428
"1123",0.45,2,2,1e-04,617
"1124",0.5,2,2,1e-04,777
"1125",0.55,2,2,1e-04,915
"1126",0.6,2,2,1e-04,966
"1127",0.65,2,2,1e-04,990
"1128",0.7,2,2,1e-04,998
"1129",0.75,2,2,1e-04,999
"1130",0.8,2,2,1e-04,1000
"1131",0.85,2,2,1e-04,1000
"1132",0.9,2,2,1e-04,1000
"1133",0.95,2,2,1e-04,1000
"1134",1,2,2,1e-04,1000
"1135",0,1,1,5e-05,0
"1136",0.05,1,1,5e-05,2
"1137",0.1,1,1,5e-05,13
"1138",0.15,1,1,5e-05,95
"1139",0.2,1,1,5e-05,372
"1140",0.25,1,1,5e-05,736
"1141",0.3,1,1,5e-05,952
"1142",0.35,1,1,5e-05,996
"1143",0.4,1,1,5e-05,1000
"1144",0.45,1,1,5e-05,1000
"1145",0.5,1,1,5e-05,1000
"1146",0.55,1,1,5e-05,1000
"1147",0.6,1,1,5e-05,1000
"1148",0.65,1,1,5e-05,1000
"1149",0.7,1,1,5e-05,1000
"1150",0.75,1,1,5e-05,1000
"1151",0.8,1,1,5e-05,1000
"1152",0.85,1,1,5e-05,1000
"1153",0.9,1,1,5e-05,1000
"1154",0.95,1,1,5e-05,1000
"1155",1,1,1,5e-05,1000
"1156",0,1.5,1,5e-05,885
"1157",0.05,1.5,1,5e-05,918
"1158",0.1,1.5,1,5e-05,964
"1159",0.15,1.5,1,5e-05,995
"1160",0.2,1.5,1,5e-05,998
"1161",0.25,1.5,1,5e-05,1000
"1162",0.3,1.5,1,5e-05,1000
"1163",0.35,1.5,1,5e-05,1000
"1164",0.4,1.5,1,5e-05,1000
"1165",0.45,1.5,1,5e-05,1000
"1166",0.5,1.5,1,5e-05,1000
"1167",0.55,1.5,1,5e-05,1000
"1168",0.6,1.5,1,5e-05,1000
"1169",0.65,1.5,1,5e-05,1000
"1170",0.7,1.5,1,5e-05,1000
"1171",0.75,1.5,1,5e-05,1000
"1172",0.8,1.5,1,5e-05,1000
"1173",0.85,1.5,1,5e-05,1000
"1174",0.9,1.5,1,5e-05,1000
"1175",0.95,1.5,1,5e-05,1000
"1176",1,1.5,1,5e-05,1000
"1177",0,2,1,5e-05,1000
"1178",0.05,2,1,5e-05,1000
"1179",0.1,2,1,5e-05,1000
"1180",0.15,2,1,5e-05,1000
"1181",0.2,2,1,5e-05,1000
"1182",0.25,2,1,5e-05,1000
"1183",0.3,2,1,5e-05,1000
"1184",0.35,2,1,5e-05,1000
"1185",0.4,2,1,5e-05,1000
"1186",0.45,2,1,5e-05,1000
"1187",0.5,2,1,5e-05,1000
"1188",0.55,2,1,5e-05,1000
"1189",0.6,2,1,5e-05,1000
"1190",0.65,2,1,5e-05,1000
"1191",0.7,2,1,5e-05,1000
"1192",0.75,2,1,5e-05,1000
"1193",0.8,2,1,5e-05,1000
"1194",0.85,2,1,5e-05,1000
"1195",0.9,2,1,5e-05,1000
"1196",0.95,2,1,5e-05,1000
"1197",1,2,1,5e-05,1000
"1198",0,1,1.5,5e-05,885
"1199",0.05,1,1.5,5e-05,889
"1200",0.1,1,1.5,5e-05,956
"1201",0.15,1,1.5,5e-05,988
"1202",0.2,1,1.5,5e-05,997
"1203",0.25,1,1.5,5e-05,1000
"1204",0.3,1,1.5,5e-05,1000
"1205",0.35,1,1.5,5e-05,1000
"1206",0.4,1,1.5,5e-05,1000
"1207",0.45,1,1.5,5e-05,1000
"1208",0.5,1,1.5,5e-05,1000
"1209",0.55,1,1.5,5e-05,1000
"1210",0.6,1,1.5,5e-05,1000
"1211",0.65,1,1.5,5e-05,1000
"1212",0.7,1,1.5,5e-05,1000
"1213",0.75,1,1.5,5e-05,1000
"1214",0.8,1,1.5,5e-05,1000
"1215",0.85,1,1.5,5e-05,1000
"1216",0.9,1,1.5,5e-05,1000
"1217",0.95,1,1.5,5e-05,1000
"1218",1,1,1.5,5e-05,1000
"1219",0,1.5,1.5,5e-05,0
"1220",0.05,1.5,1.5,5e-05,0
"1221",0.1,1.5,1.5,5e-05,4
"1222",0.15,1.5,1.5,5e-05,13
"1223",0.2,1.5,1.5,5e-05,56
"1224",0.25,1.5,1.5,5e-05,160
"1225",0.3,1.5,1.5,5e-05,372
"1226",0.35,1.5,1.5,5e-05,623
"1227",0.4,1.5,1.5,5e-05,825
"1228",0.45,1.5,1.5,5e-05,952
"1229",0.5,1.5,1.5,5e-05,991
"1230",0.55,1.5,1.5,5e-05,999
"1231",0.6,1.5,1.5,5e-05,1000
"1232",0.65,1.5,1.5,5e-05,1000
"1233",0.7,1.5,1.5,5e-05,1000
"1234",0.75,1.5,1.5,5e-05,1000
"1235",0.8,1.5,1.5,5e-05,1000
"1236",0.85,1.5,1.5,5e-05,1000
"1237",0.9,1.5,1.5,5e-05,1000
"1238",0.95,1.5,1.5,5e-05,1000
"1239",1,1.5,1.5,5e-05,1000
"1240",0,2,1.5,5e-05,138
"1241",0.05,2,1.5,5e-05,172
"1242",0.1,2,1.5,5e-05,307
"1243",0.15,2,1.5,5e-05,485
"1244",0.2,2,1.5,5e-05,672
"1245",0.25,2,1.5,5e-05,824
"1246",0.3,2,1.5,5e-05,937
"1247",0.35,2,1.5,5e-05,983
"1248",0.4,2,1.5,5e-05,997
"1249",0.45,2,1.5,5e-05,999
"1250",0.5,2,1.5,5e-05,1000
"1251",0.55,2,1.5,5e-05,1000
"1252",0.6,2,1.5,5e-05,1000
"1253",0.65,2,1.5,5e-05,1000
"1254",0.7,2,1.5,5e-05,1000
"1255",0.75,2,1.5,5e-05,1000
"1256",0.8,2,1.5,5e-05,1000
"1257",0.85,2,1.5,5e-05,1000
"1258",0.9,2,1.5,5e-05,1000
"1259",0.95,2,1.5,5e-05,1000
"1260",1,2,1.5,5e-05,1000
"1261",0,1,2,5e-05,1000
"1262",0.05,1,2,5e-05,1000
"1263",0.1,1,2,5e-05,1000
"1264",0.15,1,2,5e-05,1000
"1265",0.2,1,2,5e-05,1000
"1266",0.25,1,2,5e-05,1000
"1267",0.3,1,2,5e-05,1000
"1268",0.35,1,2,5e-05,1000
"1269",0.4,1,2,5e-05,1000
"1270",0.45,1,2,5e-05,1000
"1271",0.5,1,2,5e-05,1000
"1272",0.55,1,2,5e-05,1000
"1273",0.6,1,2,5e-05,1000
"1274",0.65,1,2,5e-05,1000
"1275",0.7,1,2,5e-05,1000
"1276",0.75,1,2,5e-05,1000
"1277",0.8,1,2,5e-05,1000
"1278",0.85,1,2,5e-05,1000
"1279",0.9,1,2,5e-05,1000
"1280",0.95,1,2,5e-05,1000
"1281",1,1,2,5e-05,1000
"1282",0,1.5,2,5e-05,134
"1283",0.05,1.5,2,5e-05,169
"1284",0.1,1.5,2,5e-05,306
"1285",0.15,1.5,2,5e-05,473
"1286",0.2,1.5,2,5e-05,661
"1287",0.25,1.5,2,5e-05,827
"1288",0.3,1.5,2,5e-05,934
"1289",0.35,1.5,2,5e-05,977
"1290",0.4,1.5,2,5e-05,994
"1291",0.45,1.5,2,5e-05,999
"1292",0.5,1.5,2,5e-05,1000
"1293",0.55,1.5,2,5e-05,1000
"1294",0.6,1.5,2,5e-05,1000
"1295",0.65,1.5,2,5e-05,1000
"1296",0.7,1.5,2,5e-05,1000
"1297",0.75,1.5,2,5e-05,1000
"1298",0.8,1.5,2,5e-05,1000
"1299",0.85,1.5,2,5e-05,1000
"1300",0.9,1.5,2,5e-05,1000
"1301",0.95,1.5,2,5e-05,1000
"1302",1,1.5,2,5e-05,1000
"1303",0,2,2,5e-05,0
"1304",0.05,2,2,5e-05,0
"1305",0.1,2,2,5e-05,0
"1306",0.15,2,2,5e-05,0
"1307",0.2,2,2,5e-05,0
"1308",0.25,2,2,5e-05,0
"1309",0.3,2,2,5e-05,0
"1310",0.35,2,2,5e-05,0
"1311",0.4,2,2,5e-05,0
"1312",0.45,2,2,5e-05,0
"1313",0.5,2,2,5e-05,0
"1314",0.55,2,2,5e-05,0
"1315",0.6,2,2,5e-05,0
"1316",0.65,2,2,5e-05,0
"1317",0.7,2,2,5e-05,0
"1318",0.75,2,2,5e-05,0
"1319",0.8,2,2,5e-05,0
"1320",0.85,2,2,5e-05,0
"1321",0.9,2,2,5e-05,0
"1322",0.95,2,2,5e-05,0
"1323",1,2,2,5e-05,0
"1324",0,1,1,1e-05,0
"1325",0.05,1,1,1e-05,0
"1326",0.1,1,1,1e-05,0
"1327",0.15,1,1,1e-05,0
"1328",0.2,1,1,1e-05,0
"1329",0.25,1,1,1e-05,0
"1330",0.3,1,1,1e-05,0
"1331",0.35,1,1,1e-05,0
"1332",0.4,1,1,1e-05,0
"1333",0.45,1,1,1e-05,0
"1334",0.5,1,1,1e-05,0
"1335",0.55,1,1,1e-05,0
"1336",0.6,1,1,1e-05,0
"1337",0.65,1,1,1e-05,0
"1338",0.7,1,1,1e-05,0
"1339",0.75,1,1,1e-05,0
"1340",0.8,1,1,1e-05,0
"1341",0.85,1,1,1e-05,0
"1342",0.9,1,1,1e-05,0
"1343",0.95,1,1,1e-05,0
"1344",1,1,1,1e-05,0
"1345",0,1.5,1,1e-05,0
"1346",0.05,1.5,1,1e-05,0
"1347",0.1,1.5,1,1e-05,0
"1348",0.15,1.5,1,1e-05,0
"1349",0.2,1.5,1,1e-05,0
"1350",0.25,1.5,1,1e-05,0
"1351",0.3,1.5,1,1e-05,0
"1352",0.35,1.5,1,1e-05,0
"1353",0.4,1.5,1,1e-05,0
"1354",0.45,1.5,1,1e-05,0
"1355",0.5,1.5,1,1e-05,0
"1356",0.55,1.5,1,1e-05,0
"1357",0.6,1.5,1,1e-05,0
"1358",0.65,1.5,1,1e-05,0
"1359",0.7,1.5,1,1e-05,0
"1360",0.75,1.5,1,1e-05,0
"1361",0.8,1.5,1,1e-05,0
"1362",0.85,1.5,1,1e-05,0
"1363",0.9,1.5,1,1e-05,0
"1364",0.95,1.5,1,1e-05,0
"1365",1,1.5,1,1e-05,0
"1366",0,2,1,1e-05,0
"1367",0.05,2,1,1e-05,0
"1368",0.1,2,1,1e-05,0
"1369",0.15,2,1,1e-05,0
"1370",0.2,2,1,1e-05,0
"1371",0.25,2,1,1e-05,0
"1372",0.3,2,1,1e-05,0
"1373",0.35,2,1,1e-05,0
"1374",0.4,2,1,1e-05,0
"1375",0.45,2,1,1e-05,0
"1376",0.5,2,1,1e-05,0
"1377",0.55,2,1,1e-05,0
"1378",0.6,2,1,1e-05,0
"1379",0.65,2,1,1e-05,0
"1380",0.7,2,1,1e-05,0
"1381",0.75,2,1,1e-05,0
"1382",0.8,2,1,1e-05,0
"1383",0.85,2,1,1e-05,0
"1384",0.9,2,1,1e-05,0
"1385",0.95,2,1,1e-05,0
"1386",1,2,1,1e-05,0
"1387",0,1,1.5,1e-05,0
"1388",0.05,1,1.5,1e-05,0
"1389",0.1,1,1.5,1e-05,0
"1390",0.15,1,1.5,1e-05,0
"1391",0.2,1,1.5,1e-05,0
"1392",0.25,1,1.5,1e-05,0
"1393",0.3,1,1.5,1e-05,0
"1394",0.35,1,1.5,1e-05,0
"1395",0.4,1,1.5,1e-05,0
"1396",0.45,1,1.5,1e-05,0
"1397",0.5,1,1.5,1e-05,0
"1398",0.55,1,1.5,1e-05,0
"1399",0.6,1,1.5,1e-05,0
"1400",0.65,1,1.5,1e-05,0
"1401",0.7,1,1.5,1e-05,0
"1402",0.75,1,1.5,1e-05,0
"1403",0.8,1,1.5,1e-05,0
"1404",0.85,1,1.5,1e-05,0
"1405",0.9,1,1.5,1e-05,0
"1406",0.95,1,1.5,1e-05,0
"1407",1,1,1.5,1e-05,0
"1408",0,1.5,1.5,1e-05,0
"1409",0.05,1.5,1.5,1e-05,0
"1410",0.1,1.5,1.5,1e-05,0
"1411",0.15,1.5,1.5,1e-05,0
"1412",0.2,1.5,1.5,1e-05,0
"1413",0.25,1.5,1.5,1e-05,0
"1414",0.3,1.5,1.5,1e-05,0
"1415",0.35,1.5,1.5,1e-05,0
"1416",0.4,1.5,1.5,1e-05,0
"1417",0.45,1.5,1.5,1e-05,0
"1418",0.5,1.5,1.5,1e-05,0
"1419",0.55,1.5,1.5,1e-05,0
"1420",0.6,1.5,1.5,1e-05,0
"1421",0.65,1.5,1.5,1e-05,0
"1422",0.7,1.5,1.5,1e-05,0
"1423",0.75,1.5,1.5,1e-05,0
"1424",0.8,1.5,1.5,1e-05,0
"1425",0.85,1.5,1.5,1e-05,0
"1426",0.9,1.5,1.5,1e-05,0
"1427",0.95,1.5,1.5,1e-05,0
"1428",1,1.5,1.5,1e-05,0
"1429",0,2,1.5,1e-05,0
"1430",0.05,2,1.5,1e-05,0
"1431",0.1,2,1.5,1e-05,0
"1432",0.15,2,1.5,1e-05,0
"1433",0.2,2,1.5,1e-05,0
"1434",0.25,2,1.5,1e-05,0
"1435",0.3,2,1.5,1e-05,0
"1436",0.35,2,1.5,1e-05,0
"1437",0.4,2,1.5,1e-05,0
"1438",0.45,2,1.5,1e-05,0
"1439",0.5,2,1.5,1e-05,0
"1440",0.55,2,1.5,1e-05,0
"1441",0.6,2,1.5,1e-05,0
"1442",0.65,2,1.5,1e-05,0
"1443",0.7,2,1.5,1e-05,0
"1444",0.75,2,1.5,1e-05,0
"1445",0.8,2,1.5,1e-05,0
"1446",0.85,2,1.5,1e-05,0
"1447",0.9,2,1.5,1e-05,0
"1448",0.95,2,1.5,1e-05,0
"1449",1,2,1.5,1e-05,0
"1450",0,1,2,1e-05,0
"1451",0.05,1,2,1e-05,0
"1452",0.1,1,2,1e-05,0
"1453",0.15,1,2,1e-05,0
"1454",0.2,1,2,1e-05,0
"1455",0.25,1,2,1e-05,0
"1456",0.3,1,2,1e-05,0
"1457",0.35,1,2,1e-05,0
"1458",0.4,1,2,1e-05,0
"1459",0.45,1,2,1e-05,0
"1460",0.5,1,2,1e-05,0
"1461",0.55,1,2,1e-05,0
"1462",0.6,1,2,1e-05,0
"1463",0.65,1,2,1e-05,0
"1464",0.7,1,2,1e-05,0
"1465",0.75,1,2,1e-05,0
"1466",0.8,1,2,1e-05,0
"1467",0.85,1,2,1e-05,0
"1468",0.9,1,2,1e-05,0
"1469",0.95,1,2,1e-05,0
"1470",1,1,2,1e-05,0
"1471",0,1.5,2,1e-05,0
"1472",0.05,1.5,2,1e-05,0
"1473",0.1,1.5,2,1e-05,0
"1474",0.15,1.5,2,1e-05,0
"1475",0.2,1.5,2,1e-05,0
"1476",0.25,1.5,2,1e-05,0
"1477",0.3,1.5,2,1e-05,0
"1478",0.35,1.5,2,1e-05,0
"1479",0.4,1.5,2,1e-05,0
"1480",0.45,1.5,2,1e-05,0
"1481",0.5,1.5,2,1e-05,0
"1482",0.55,1.5,2,1e-05,0
"1483",0.6,1.5,2,1e-05,0
"1484",0.65,1.5,2,1e-05,0
"1485",0.7,1.5,2,1e-05,0
"1486",0.75,1.5,2,1e-05,0
"1487",0.8,1.5,2,1e-05,0
"1488",0.85,1.5,2,1e-05,0
"1489",0.9,1.5,2,1e-05,0
"1490",0.95,1.5,2,1e-05,0
"1491",1,1.5,2,1e-05,0
"1492",0,2,2,1e-05,0
"1493",0.05,2,2,1e-05,0
"1494",0.1,2,2,1e-05,0
"1495",0.15,2,2,1e-05,0
"1496",0.2,2,2,1e-05,0
"1497",0.25,2,2,1e-05,0
"1498",0.3,2,2,1e-05,0
"1499",0.35,2,2,1e-05,0
"1500",0.4,2,2,1e-05,0
"1501",0.45,2,2,1e-05,0
"1502",0.5,2,2,1e-05,0
"1503",0.55,2,2,1e-05,0
"1504",0.6,2,2,1e-05,0
"1505",0.65,2,2,1e-05,0
"1506",0.7,2,2,1e-05,0
"1507",0.75,2,2,1e-05,0
"1508",0.8,2,2,1e-05,0
"1509",0.85,2,2,1e-05,0
"1510",0.9,2,2,1e-05,0
"1511",0.95,2,2,1e-05,0
"1512",1,2,2,1e-05,0
